step	nb_steps	episode	duration	episode_steps	sps	episode_reward	reward_mean	reward_min	reward_max	action_mean	action_min	action_max	obs_mean	obs_min	obs_max	loss	mean_absolute_error	mean_q	maxscore	outer_deaths	inner_deaths	shell_deaths	resets	reset_vlners	isi_pre	isi_post	fortress_kills	raw_pnts	total
112855	54550000	31	13.7039482125	3660	267.076315763	84564.0	23.1049180328	-1003.0	100000.0	0.989890710383	0	2	69.9059884796	-254.0	544.286582013	841545.0	185.542	13246.7	100	9	9	0	57	3.08620689655	9.98662207358	6.28571428571	1	-2262	0
116514	54550000	32	13.9802330365	3659	261.726681554	178341.0	48.7403662203	-1000.0	99998.0	1.0281497677	0	2	69.3831834212	-214.0	523.984253407	745191.0	181.771	13041.0	100	5	22	1	53	3.41818181818	9.46179401993	7.61764705882	2	-3146	0
120098	54550000	33	13.576314821	3584	263.989164016	84588.0	23.6015625	-1000.0	100000.0	0.909877232143	0	2	69.8828565054	-257.0	547.077402239	840362.0	189.446	12762.4	100	9	9	2	53	3.42592592593	10.4899328859	9.6	1	-2462	0
123739	54550000	34	13.6956785725	3641	265.85028122	187092.0	51.3847843999	-1002.0	100000.0	0.895633067839	0	2	71.5733201001	-217.0	549.524769831	806558.0	185.075	12414.2	100	10	8	2	45	3.91489361702	11.720754717	13.7058823529	2	-2314	0
127377	54550000	35	13.7625052028	3638	264.341407788	-12747.0	-3.50384826828	-1002.0	100.0	0.973886750962	0	2	69.8073465883	-180.0	553.201121336	780968.0	176.827	11796.5	0	10	5	0	57	3.47368421053	9.9593220339	2.0	0	-2064	0
130999	54550000	36	13.7254746354	3622	263.888870601	379797.0	104.858365544	-1002.0	100000.0	1.02236333517	0	2	69.5008676891	-180.0	537.402358824	708135.0	174.351	11595.5	100	7	17	0	55	3.45762711864	9.13680781759	10.2380952381	4	-2598	0
134670	54550000	37	14.1560280911	3671	259.324153383	73386.0	19.9907382185	-1001.0	100000.0	0.922364478344	0	2	68.7915750286	-309.0	549.417215703	763480.0	178.398	11798.2	100	7	23	0	50	3.33333333333	11.9466192171	15.8333333333	1	-3418	0
138299	54550000	38	13.7890028063	3629	263.180742724	-16703.0	-4.60264535685	-1002.0	100.0	1.09616974373	0	2	67.9081340142	-458.0	522.614019899	785479.0	181.904	11606.2	0	9	9	2	62	3.06451612903	8.63125	2.0	0	-2582	0
141913	54550000	39	13.7713425561	3614	262.429025005	87214.0	24.13226342	-1003.0	100000.0	1.0160486995	0	2	69.7614097958	-186.0	544.511104444	762904.0	184.087	11795.7	100	5	10	2	70	2.92957746479	9.09872611465	18.5	1	-2210	0
145534	54550000	40	13.8040313968	3621	262.314674309	286680.0	79.1714995857	-1002.0	100000.0	0.90637945319	0	2	70.8527229816	-324.0	543.699912566	803304.0	187.508	11889.9	100	11	6	0	45	4.08333333333	10.75	4.30769230769	3	-1954	0
149180	54550000	41	13.9657191527	3646	261.06783046	81269.0	22.2899067471	-1005.0	100000.0	0.964070213933	0	2	69.9326573908	-214.0	527.017359584	760160.0	187.923	12129.4	100	8	13	0	59	3.13333333333	10.2575250836	6.5	1	-2560	0
152864	54550000	42	14.1126650359	3684	261.042120013	378745.0	102.808089034	-1002.0	100000.0	1.01004343105	0	2	69.9547997441	-207.0	531.772743688	821950.0	190.724	11946.8	100	8	16	1	52	2.96428571429	10.6875	2.9375	4	-2604	0
156460	54550000	43	13.7109899655	3596	262.27136108	281763.0	78.3545606229	-1000.0	100000.0	0.803392658509	0	2	68.340754187	-343.0	537.096401157	743880.0	178.554	11636.4	100	6	17	1	47	3.3	12.7262357414	9.32142857143	3	-2610	0
160084	54550000	44	13.9286876818	3624	260.182443802	-20232.0	-5.58278145695	-1002.0	100.0	1.06567328918	0	2	69.2646011157	-264.0	555.118715489	728521.0	180.768	11520.2	0	7	15	2	63	3.34920634921	7.8085106383	4.0	0	-3056	0
163718	54550000	45	13.8122365856	3634	263.100040134	-12330.0	-3.39295542102	-1002.0	100.0	0.795542102367	0	2	69.8114736736	-193.0	538.001837383	741813.0	176.845	11217.8	0	6	8	3	58	3.41379310345	11.5806451613	1.0	0	-2288	0
167374	54550000	46	14.3195487929	3656	255.315307268	390411.0	106.786378556	-1002.0	100000.0	0.851203501094	0	2	69.4494944784	-288.0	551.335739415	817952.0	187.908	11395.7	100	12	2	1	53	3.89473684211	9.35151515152	10.6470588235	4	-1746	90
170990	54550000	47	14.8940201269	3616	242.782000373	179589.0	49.6650995575	-1004.0	100000.0	0.916482300885	0	2	69.8174134991	-197.0	541.088425989	867445.0	193.069	11743.3	100	6	18	1	61	3.0	9.03779069767	11.125	2	-2920	0
174652	54550000	48	15.2107137888	3662	240.751357948	81331.0	22.2094483889	-1003.0	100000.0	0.99781540142	0	2	71.1152489452	-184.0	555.167667963	778117.0	181.01	11663.7	100	7	14	1	68	3.04347826087	8.64166666667	1.8	1	-2762	0
178262	54550000	49	14.0964883696	3610	256.092149006	188068.0	52.096398892	-1000.0	100000.0	1.12049861496	0	2	68.8880844811	-166.0	535.406370062	831879.0	191.867	11873.1	100	4	13	1	66	3.22058823529	6.87534626039	7.95454545455	2	-2278	0
181883	54550000	50	13.8900443268	3621	260.690312774	188523.0	52.0637945319	-1002.0	100000.0	0.958298812483	0	2	68.9651274728	-192.0	541.477792114	879648.0	197.059	12211.2	100	8	8	1	65	3.37313432836	8.1181556196	9.61538461538	2	-2158	0
