step	nb_steps	episode	duration	episode_steps	sps	episode_reward	reward_mean	reward_min	reward_max	action_mean	action_min	action_max	obs_mean	obs_min	obs_max	loss	mean_absolute_error	mean_q	mean_eps	maxscore	outer_deaths	inner_deaths	shell_deaths	resets	reset_vlners	isi_pre	isi_post	fortress_kills	raw_pnts	total
90024	10910000	33	5.52015517697	2728	494.189006023	271354.0	99.469941349	-1003.0	540.5	1.33687683284	0	2	69.9100200541	-80.0	512.137418552	1772594.0523	99.2635367553	2003.09383287	0.39366148121	0	2	25	2	109	2.33944954128	4.36964980545	4.0	0	-3794	0
92752	10910000	34	5.5835505301	2728	488.578008795	622936.0	228.348973607	-1002.0	100311.5	1.25843108504	0	2	69.3440129165	-90.0	531.915896794	1195168.0268	88.801924795	2739.75533816	0.393466445463	100	2	16	1	112	2.4649122807	4.44150943396	8.5	2	-2642	0
95480	10910000	35	5.51286676236	2728	494.842360172	394479.5	144.603922287	-1005.0	100076.5	1.2965542522	0	2	69.6375411602	-74.0	511.794069411	1615690.23842	103.530975054	2766.41435264	0.393271409716	100	3	23	0	101	2.43137254902	4.38554216867	23.2	1	-3360	0
98208	10910000	36	5.59608780793	2728	487.483415849	456546.0	167.355571848	-1002.0	100112.5	1.46041055718	0	2	69.7044369739	-88.0	546.85611276	1195568.86342	88.6351586982	2732.87491391	0.393076373969	100	2	21	2	102	2.50485436893	3.42696629213	6.5	1	-3328	0
100936	10910000	37	5.52119151725	2728	494.096245616	323267.0	118.499633431	-1011.0	100090.5	1.36950146628	0	2	69.9700570309	-88.0	524.272099489	1911557.04361	112.11204071	2803.10242111	0.392881338222	100	1	28	2	112	2.22123893805	4.148	14.25	1	-3854	0
103664	10910000	38	5.77504940762	2728	472.376910992	381849.5	139.974156891	-1006.0	636.5	1.45601173021	0	2	68.188831031	-78.0	511.45553977	1322348.4356	92.4061340908	2947.77821883	0.392686302475	0	1	21	1	109	2.40366972477	3.86153846154	NA	0	-3222	0
106392	10910000	39	5.56553097908	2728	490.159880568	399760.5	146.539772727	-1003.0	100435.5	1.47104105572	0	2	68.6799371629	-70.0	497.739066371	898829.000952	84.340615225	2897.5310515	0.392491266728	100	0	28	0	114	2.18260869565	3.58878504673	6.0	1	-3596	88
109120	10910000	40	5.53734680024	2728	492.654713244	281869.0	103.32441349	-1003.0	436.5	1.44281524927	0	2	68.8413689428	-72.0	513.606808431	1177367.58914	87.2818955984	2902.68636342	0.392296230981	0	1	21	2	103	2.52427184466	3.67630057803	NA	0	-3296	0
111848	10910000	41	5.55468208357	2728	491.117215883	411332.5	150.781708211	-1000.0	863.5	1.29325513196	0	2	69.122701624	-92.0	536.828497065	1735213.96688	114.53723625	3047.8130409	0.392101195234	0	2	25	0	100	2.6	4.73267326733	NA	0	-3564	0
114576	10910000	42	5.5856750126	2728	488.392180684	534639.0	195.982038123	-1002.0	100412.5	1.32771260997	0	2	69.2788183121	-72.0	514.552372052	880156.050325	88.2177903044	3076.77095851	0.391906159487	100	2	21	1	117	2.31355932203	4.1303538175	7.0	1	-3240	0
117304	10910000	43	5.57685271801	2728	489.164792033	468145.5	171.607587977	-1001.0	100015.5	1.33907624633	0	2	69.2000981807	-84.0	517.574391637	1164186.3892	95.1326614	3084.43801155	0.39171112374	100	2	23	0	109	2.39090909091	4.28131021195	9.6	1	-3312	0
120032	10910000	44	5.55477906165	2728	491.108641716	369213.0	135.342008798	-1006.0	100253.5	1.30351906158	0	2	70.7531960959	-70.0	548.370918326	1288125.77888	108.362631096	3091.70576831	0.391516087993	100	3	21	2	98	2.67676767677	4.18426103647	13.25	1	-3394	0
122760	10910000	45	5.5972045617	2728	487.3861532	321463.0	117.838343109	-1003.0	482.5	1.44538123167	0	2	69.1318679241	-94.0	503.404565167	872406.978018	82.8493946305	3243.54727772	0.391321052246	0	1	20	1	118	2.33898305085	3.48613678373	NA	0	-3142	0
125488	10910000	46	5.526126557	2728	493.654999006	274525.5	100.632514663	-1004.0	534.5	1.23497067449	0	2	70.2993037692	-114.0	528.421597722	1139216.4356	101.900706098	3231.77170561	0.391126016499	0	3	20	4	103	2.44660194175	5.14928425358	2.0	0	-3542	0
128216	10910000	47	5.54469243794	2728	492.002041688	371385.0	136.138196481	-1002.0	100095.5	1.29948680352	0	2	69.1751163123	-94.0	538.322481073	1446832.49585	117.709428866	3255.48671295	0.390930980752	100	2	25	3	99	2.61	4.44921875	14.0	1	-3762	0
130944	10910000	48	5.47178449905	2728	498.557646134	318249.5	116.6603739	-1004.0	100103.5	1.26173020528	0	2	69.9632021423	-72.0	526.075772142	1127560.09799	101.163957059	3463.66228622	0.390735945005	100	2	29	3	97	2.4693877551	4.91097308489	20.2222222222	1	-4118	98
133672	10910000	49	5.56513433271	2728	490.194815957	724413.5	265.547470674	-1004.0	100480.5	1.0857771261	0	2	69.1056949845	-66.0	480.583591239	1376571.09229	115.405244995	3953.03060385	0.390540909258	100	1	15	1	90	2.97826086957	5.52	14.2142857143	2	-2372	0
