step	nb_steps	episode	duration	episode_steps	sps	episode_reward	reward_mean	reward_min	reward_max	action_mean	action_min	action_max	obs_mean	obs_min	obs_max	loss	mean_absolute_error	mean_q	mean_eps	maxscore	outer_deaths	inner_deaths	shell_deaths	resets	reset_vlners	isi_pre	isi_post	fortress_kills	raw_pnts	total
32736	1750000	12	3.48702662199	2728	782.328412063	772239.0	283.078812317	-1000.0	100256.5	0.589809384164	0	2	68.2562940529	-90.0	473.36372976	NA	NA	NA	NA	100	0	32	0	46	4.21568627451	12.6158536585	7.23529411765	5	-3300	0
35464	1750000	13	3.40614509728	2728	800.905399533	374650.5	137.335227273	-1009.0	100017.5	0.473973607038	0	2	67.555154424	-96.0	480.933499889	NA	NA	NA	NA	100	0	31	0	43	4.20454545455	15.8367346939	18.0	1	-3502	0
38192	1750000	14	3.49723853415	2728	780.044018548	479454.0	175.752932551	-1001.0	100285.5	0.571847507331	0	2	67.4736680265	-82.0	455.226070719	NA	NA	NA	NA	100	0	37	0	40	4.18604651163	14.925170068	6.72727272727	3	-3912	0
40920	1750000	15	3.59912002935	2728	757.963051456	398096.5	145.929802053	-1003.0	100031.5	0.54582111437	0	2	68.2137464214	-94.0	484.819741844	NA	NA	NA	NA	100	0	32	1	54	3.57142857143	13.4578313253	12.8571428571	2	-3670	0
43648	1750000	16	3.40960679304	2728	800.092258605	532620.5	195.242118768	-1000.0	100063.5	0.527492668622	0	2	67.4278447099	-94.0	472.072571229	NA	NA	NA	NA	100	0	33	0	44	3.87234042553	14.7350993377	6.46153846154	3	-3528	0
46376	1750000	17	3.47067647932	2728	786.013912922	557537.0	204.375733138	-1001.0	100018.5	0.556085043988	0	2	67.9244458865	-72.0	478.95382704	NA	NA	NA	NA	100	0	29	1	52	3.56363636364	12.8	8.94117647059	3	-3274	0
49104	1750000	18	3.60267237853	2728	757.215675856	718552.0	263.398826979	-1010.0	100206.5	0.49926686217	0	2	67.8832790256	-76.0	470.689379127	NA	NA	NA	NA	100	0	33	1	41	4.45652173913	14.3548387097	8.94736842105	5	-3450	98
51832	1750000	19	6.46704221076	2728	421.831172752	698069.5	255.890579179	-1002.0	100111.5	0.5392228739	0	2	67.7788070773	-82.0	472.702066391	1035689.90763	219.182892989	15800.4901745	0.3821794	100	0	38	0	41	3.97826086957	14.7508305648	6.95238095238	5	-3812	0
54560	1750000	20	5.87114293786	2728	464.645475144	392873.5	144.01521261	-1001.0	100225.5	0.490835777126	0	2	67.9772883558	-94.0	496.428474901	1429964.61567	241.076624845	15785.1535781	0.3813821	100	0	36	1	39	4.39024390244	16.0	5.2	2	-3968	0
57288	1750000	21	5.74846717413	2728	474.561290404	602598.0	220.893695015	-1007.0	100046.5	0.513929618768	0	2	67.9939413384	-110.0	474.649985979	852384.94114	195.365706732	15643.9284532	0.3804273	100	0	32	0	44	3.95744680851	14.8562091503	9.25	3	-3412	0
60016	1750000	22	5.84624697847	2728	466.624145378	302203.0	110.778225806	-1000.0	591.5	0.467741935484	0	2	67.6667616517	-94.0	510.073083735	1120502.71408	207.917359383	15539.7202449	0.3794725	0	0	31	1	51	3.54901960784	15.2964169381	4.0	0	-3712	0
62744	1750000	23	5.53984684692	2728	492.432385837	458190.0	167.958211144	-1000.0	100169.5	0.494868035191	0	2	68.2380135503	-110.0	488.687257361	1184962.75993	218.050890825	16031.441528	0.3785177	100	1	28	0	46	4.08333333333	14.4174454829	5.14285714286	2	-3230	0
